20260630 154000;30404.75;30413.5;30403.5;30408.75;2220
20260630 154100;30409.25;30422.5;30404.5;30406;3347
20260630 154200;30406;30421.25;30393.5;30417.25;5532
20260630 154300;30417.25;30423.75;30408.5;30421.75;3510
20260630 154400;30421.25;30425;30413.5;30422.5;2332
20260630 154500;30423.25;30427;30411.25;30416;2314
20260630 154600;30416;30435.25;30415.25;30428.75;4165
20260630 154700;30429;30440.25;30422;30431.25;4266
20260630 154800;30431.25;30438;30424.5;30426;2967
20260630 154900;30426.5;30432;30418.5;30427;2860
20260630 155000;30427.25;30435.25;30425.5;30431.25;2131
20260630 155100;30431.5;30450;30429.25;30443.5;6094
20260630 155200;30443.5;30446.5;30433.75;30442.5;3406
20260630 155300;30442.75;30456;30437.25;30449.75;4194
20260630 155400;30450;30468;30449.25;30467.25;4427
20260630 155500;30467.5;30468;30460.5;30467.25;3096
20260630 155600;30467.5;30479.25;30461;30479;4378
20260630 155700;30479;30481.5;30471.75;30476.25;3471
20260630 155800;30476;30482;30469.5;30480.25;2902
20260630 155900;30480;30481.25;30464;30465.5;3313
20260630 160000;30465.25;30469.75;30458.75;30460;3338
20260630 160100;30460.25;30470.5;30453;30465.25;4337
20260630 160200;30465.5;30478.75;30465.25;30475.25;2915
20260630 160300;30475.25;30485;30471.5;30484.25;2908
20260630 160400;30484;30487.75;30476.5;30482.5;3231
20260630 160500;30482.25;30487;30475.5;30483.5;2313
20260630 160600;30483.5;30491.75;30479.5;30487.25;3040
20260630 160700;30487.5;30495.5;30484.25;30495.5;3265
20260630 160800;30495.75;30496;30489.25;30491;1747
20260630 160900;30491.25;30496;30487;30489.5;2288
20260630 161000;30489.5;30490.75;30480.5;30484.25;2375
20260630 161100;30484;30488.5;30479.5;30488.25;1602
20260630 161200;30488;30489.5;30473.75;30479.25;2723
20260630 161300;30479.25;30488.5;30478.25;30484.75;2406
20260630 161400;30484.5;30488.75;30478;30481.75;1746
20260630 161500;30481.75;30489;30479.25;30487.25;2009
20260630 161600;30487.75;30494.75;30482;30493;2564
20260630 161700;30493.5;30508;30491.25;30506.5;5901
20260630 161800;30506.75;30507;30499;30499.25;2482
20260630 161900;30499.5;30500.25;30492.75;30498.75;2397
20260630 162000;30499;30503.5;30495;30500.75;1807
20260630 162100;30501;30504.75;30496;30500.75;1670
20260630 162200;30500.25;30501.75;30494.75;30495.25;1761
20260630 162300;30495.5;30500.25;30493.75;30499.25;1462
20260630 162400;30499.5;30500.75;30487.75;30489;2316
20260630 162500;30489;30499.25;30486.75;30497.25;2011
20260630 162600;30497.25;30497.25;30486.75;30491.75;1944
20260630 162700;30492;30502.5;30491.75;30501;2023
20260630 162800;30500.5;30510;30500.25;30503.75;2849
20260630 162900;30504;30505.75;30496;30496.5;1922
20260630 163000;30496.5;30499;30490.25;30494.5;1658
20260630 163100;30494.75;30498.25;30486.5;30496;2733
20260630 163200;30496.5;30501.75;30491;30494;2257
20260630 163300;30493.75;30494.5;30482.75;30484;1873
20260630 163400;30483.5;30489;30481.5;30484.75;1856
20260630 163500;30485;30488.75;30477.75;30486;2546
20260630 163600;30486.5;30493;30485;30487.5;1910
20260630 163700;30487.75;30498.25;30487.5;30498;1957
20260630 163800;30498;30500.5;30492;30495;1610
20260630 163900;30494.5;30496;30488.75;30492.75;1185
20260630 164000;30492.75;30500.25;30490.75;30499.5;1572
20260630 164100;30499.5;30502.5;30493.5;30495;1825
