qld_time,timestamp,spot,net_gex_usd_1pct,zero_gamma,call_wall,put_wall,n_strikes
2026-09-01 10:07:20,2026-09-01T00:07:20.149Z,2466.80,16036955,2228.19,2500,2100,659
2026-09-01 10:22:20,2026-09-01T00:22:20.141Z,2476.22,17375884,2229.48,2500,2100,659
2026-09-01 10:37:20,2026-09-01T00:37:20.139Z,2473.53,16947754,2230.85,2500,2100,659
2026-09-01 10:52:20,2026-09-01T00:52:20.155Z,2472.57,16868407,2231.77,2500,2100,659
2026-09-01 11:07:20,2026-09-01T01:07:20.131Z,2473.92,17095649,2232.62,2500,2100,659
2026-09-01 11:22:20,2026-09-01T01:22:20.141Z,2468.12,16292490,2233.05,2500,2100,659
2026-09-01 11:37:20,2026-09-01T01:37:20.153Z,2465.13,15863287,2234.47,2500,2100,660
2026-09-01 11:52:20,2026-09-01T01:52:20.144Z,2463.63,15632398,2235.30,2500,2100,662
2026-09-01 12:07:20,2026-09-01T02:07:20.141Z,2458.67,14916461,2236.61,2500,2100,662
2026-09-01 12:22:20,2026-09-01T02:22:20.152Z,2457.86,14832845,2237.29,2500,2100,662
2026-09-01 12:37:20,2026-09-01T02:37:20.151Z,2459.93,15129715,2237.99,2500,2100,662
2026-09-01 12:52:20,2026-09-01T02:52:20.141Z,2461.99,15470901,2239.05,2500,2100,662
2026-09-01 13:07:20,2026-09-01T03:07:20.262Z,2463.74,15748252,2240.43,2500,2100,663
2026-09-01 13:22:20,2026-09-01T03:22:20.136Z,2463.00,15638831,2242.22,2500,2100,664
2026-09-01 13:37:20,2026-09-01T03:37:20.205Z,2480.59,18317796,2243.22,2500,2100,664
2026-09-01 13:52:20,2026-09-01T03:52:20.151Z,2473.26,17179439,2244.05,2500,2100,665
2026-09-01 14:07:20,2026-09-01T04:07:20.153Z,2469.31,16557889,2244.64,2500,2100,665
2026-09-01 14:22:20,2026-09-01T04:22:20.137Z,2474.88,17505449,2246.05,2500,2100,665
2026-09-01 14:37:20,2026-09-01T04:37:20.151Z,2472.58,17135965,2246.56,2500,2100,665
2026-09-01 14:52:20,2026-09-01T04:52:20.139Z,2469.64,16852696,2248.41,2500,2100,665
2026-09-01 15:07:20,2026-09-01T05:07:20.143Z,2474.58,17840993,2250.35,2500,2100,665
2026-09-01 15:22:20,2026-09-01T05:22:20.148Z,2470.93,17194755,2251.29,2500,2100,665
2026-09-01 15:37:20,2026-09-01T05:37:20.144Z,2479.60,18763372,2252.28,2500,2100,665
2026-09-01 15:52:20,2026-09-01T05:52:20.143Z,2482.42,19140180,2253.60,2500,2100,665
2026-09-01 16:07:20,2026-09-01T06:07:20.153Z,2480.88,18934736,2254.66,2500,2100,665
2026-09-01 16:22:20,2026-09-01T06:22:20.156Z,2475.06,18077675,2256.30,2500,2100,665
2026-09-01 16:37:20,2026-09-01T06:37:20.150Z,2474.85,18003265,2257.09,2500,2100,665
2026-09-01 16:52:20,2026-09-01T06:52:20.304Z,2473.47,17770525,2258.50,2500,2100,665
2026-09-01 17:07:20,2026-09-01T07:07:20.287Z,2471.53,17432584,2259.93,2500,2100,665
2026-09-01 17:22:20,2026-09-01T07:22:20.166Z,2475.47,18297631,2260.98,2500,2100,665
2026-09-01 17:37:20,2026-09-01T07:37:20.133Z,2471.39,17179291,2260.99,2500,2100,665
2026-09-01 17:52:20,2026-09-01T07:52:20.152Z,2471.35,16968533,2259.72,2500,2100,665
2026-09-01 18:07:20,2026-09-01T08:07:20.198Z,2463.94,16083073,2199.21,2500,2100,618
2026-09-01 18:22:20,2026-09-01T08:22:20.264Z,2461.56,15584774,2200.10,2500,2100,620
2026-09-01 18:37:20,2026-09-01T08:37:20.124Z,2454.82,14798421,2201.56,2500,2100,626
2026-09-01 18:52:20,2026-09-01T08:52:20.154Z,2447.15,13636968,2208.68,2500,2100,632
2026-09-01 19:07:20,2026-09-01T09:07:20.205Z,2445.11,13347333,2209.89,2500,2100,634
2026-09-01 19:22:20,2026-09-01T09:22:20.147Z,2447.91,13676861,2208.10,2500,2100,635
2026-09-01 19:37:20,2026-09-01T09:37:20.148Z,2449.53,13838687,2207.98,2500,2100,636
2026-09-01 19:52:20,2026-09-01T09:52:20.147Z,2453.59,14344589,2208.01,2500,2100,636
2026-09-01 20:07:20,2026-09-01T10:07:20.153Z,2452.68,14260486,2208.27,2500,2100,637
2026-09-01 20:22:20,2026-09-01T10:22:20.151Z,2454.79,14558455,2208.72,2500,2100,637
2026-09-01 20:37:20,2026-09-01T10:37:20.152Z,2460.30,15183982,2210.28,2500,2100,638
2026-09-01 20:52:20,2026-09-01T10:52:20.168Z,2457.00,14737663,2210.54,2500,2100,638
2026-09-01 21:07:20,2026-09-01T11:07:20.161Z,2455.15,14528282,2210.32,2500,2100,638
2026-09-01 21:22:20,2026-09-01T11:22:20.167Z,2452.04,14132269,2209.81,2500,2100,638
2026-09-01 21:37:20,2026-09-01T11:37:20.146Z,2460.98,15326177,2208.74,2500,2100,638
2026-09-01 21:52:20,2026-09-01T11:52:20.266Z,2462.44,15479092,2208.64,2500,2100,639
2026-09-01 22:07:20,2026-09-01T12:07:20.130Z,2456.74,14768220,2208.25,2500,2100,639
2026-09-01 22:22:20,2026-09-01T12:22:20.158Z,2453.50,14333534,2208.14,2500,2100,639
2026-09-01 22:37:20,2026-09-01T12:37:20.260Z,2443.43,13063116,2209.59,2500,2100,639
2026-09-01 22:52:20,2026-09-01T12:52:20.155Z,2445.82,13424938,2214.74,2500,2100,639
2026-09-01 23:07:20,2026-09-01T13:07:20.167Z,2433.10,11136749,2214.33,2500,2100,642
2026-09-01 23:22:20,2026-09-01T13:22:20.157Z,2440.67,11986264,2213.95,2500,2100,642
2026-09-01 23:37:20,2026-09-01T13:37:20.159Z,2437.21,11478806,2214.54,2500,2100,642
2026-09-01 23:52:20,2026-09-01T13:52:20.184Z,2445.77,12595055,2212.71,2500,2100,643
2026-09-02 00:07:20,2026-09-01T14:07:20.271Z,2451.62,13368922,2215.80,2500,2100,646
2026-09-02 00:22:20,2026-09-01T14:22:20.188Z,2448.39,12844743,2218.64,2500,2100,649
2026-09-02 00:37:20,2026-09-01T14:37:20.172Z,2453.65,13533421,2218.24,2500,2100,649
2026-09-02 00:52:20,2026-09-01T14:52:20.133Z,2452.25,13287963,2218.83,2500,2100,649
2026-09-02 01:07:20,2026-09-01T15:07:20.174Z,2439.22,11311798,2220.52,2500,2420,653
2026-09-02 01:22:20,2026-09-01T15:22:20.160Z,2439.52,11370881,2221.72,2500,2420,654
2026-09-02 01:37:20,2026-09-01T15:37:20.222Z,2445.11,12132379,2221.40,2500,2420,654
2026-09-02 01:52:20,2026-09-01T15:52:20.193Z,2451.99,13229324,2222.10,2500,2100,654
2026-09-02 02:07:20,2026-09-01T16:07:20.192Z,2443.27,11825670,2222.34,2500,2420,655
2026-09-02 02:22:20,2026-09-01T16:22:20.163Z,2427.82,9606665,2222.74,2500,2420,655
2026-09-02 02:37:20,2026-09-01T16:37:20.185Z,2425.12,9227220,2221.94,2500,2420,655
2026-09-02 02:52:20,2026-09-01T16:52:20.167Z,2431.31,10034055,2222.61,2500,2420,655
2026-09-02 03:07:20,2026-09-01T17:07:20.181Z,2430.32,9746908,2223.57,2500,2420,655
2026-09-02 03:22:20,2026-09-01T17:22:20.153Z,2434.08,10292992,2223.00,2500,2420,655
2026-09-02 03:37:20,2026-09-01T17:37:20.139Z,2436.43,10586967,2222.89,2500,2420,655
2026-09-02 03:52:20,2026-09-01T17:52:20.156Z,2422.47,8545254,2223.81,2500,2420,655
2026-09-02 04:07:20,2026-09-01T18:07:20.188Z,2415.23,7778436,2224.59,2500,2420,655
2026-09-02 04:22:20,2026-09-01T18:22:20.182Z,2413.27,7685247,2229.36,2500,2420,655
2026-09-02 04:37:20,2026-09-01T18:37:20.179Z,2402.44,6120001,2231.29,2500,2420,656
2026-09-02 04:52:20,2026-09-01T18:52:20.170Z,2403.06,6440692,2227.82,2500,2420,659
2026-09-02 05:07:20,2026-09-01T19:07:20.190Z,2414.31,7632949,2228.16,2500,2420,660
2026-09-02 05:22:20,2026-09-01T19:22:20.172Z,2418.81,8190645,2228.00,2500,2420,660
2026-09-02 05:37:20,2026-09-01T19:37:20.173Z,2418.38,8042278,2228.72,2500,2420,660
2026-09-02 05:52:20,2026-09-01T19:52:20.186Z,2415.28,7677044,2229.13,2500,2420,660
2026-09-02 06:07:20,2026-09-01T20:07:20.172Z,2413.77,7490740,2229.70,2500,2420,660
2026-09-02 06:22:20,2026-09-01T20:22:20.176Z,2419.15,8170959,2228.97,2500,2420,661
2026-09-02 06:37:20,2026-09-01T20:37:20.291Z,2421.68,8462743,2228.77,2500,2420,661
2026-09-02 06:52:20,2026-09-01T20:52:20.176Z,2416.94,7758761,2230.09,2500,2420,661
2026-09-02 07:07:20,2026-09-01T21:07:20.194Z,2414.45,7345016,2229.90,2500,2420,661
2026-09-02 07:22:20,2026-09-01T21:22:20.180Z,2411.19,7059721,2237.88,2500,2420,663
2026-09-02 07:37:20,2026-09-01T21:37:20.184Z,2408.88,6293276,2259.34,2500,2420,664
2026-09-02 07:52:20,2026-09-01T21:52:20.292Z,2416.43,7084030,2261.63,2500,2420,664
2026-09-02 08:07:20,2026-09-01T22:07:20.305Z,2413.19,6697899,2263.37,2500,2420,664
2026-09-02 08:22:20,2026-09-01T22:22:20.158Z,2411.98,6452506,2263.46,2500,2420,664
2026-09-02 08:37:20,2026-09-01T22:37:20.172Z,2407.58,6032924,2264.61,2500,2420,665
2026-09-02 08:52:20,2026-09-01T22:52:20.180Z,2412.87,6622434,2269.36,2500,2420,665
2026-09-02 09:07:20,2026-09-01T23:07:20.183Z,2413.71,6563462,2270.43,2500,2420,665
2026-09-02 09:22:20,2026-09-01T23:22:20.143Z,2412.01,6383824,2271.86,2500,2420,665
2026-09-02 09:37:20,2026-09-01T23:37:20.196Z,2424.24,8004560,2273.49,2500,2420,666
2026-09-02 09:52:20,2026-09-01T23:52:20.199Z,2419.42,7131576,2274.91,2500,2420,666
2026-09-02 10:07:20,2026-09-02T00:07:20.194Z,2419.25,7049042,2276.22,2500,2420,666
2026-09-02 10:22:20,2026-09-02T00:22:20.190Z,2416.21,6512555,2276.87,2500,2420,667
2026-09-02 10:37:20,2026-09-02T00:37:20.193Z,2410.88,5927703,2271.48,2500,2420,667
2026-09-02 10:52:20,2026-09-02T00:52:20.190Z,2407.83,5691419,2271.95,2500,2420,668
2026-09-02 11:07:20,2026-09-02T01:07:20.192Z,2407.74,5667967,2272.12,2500,2420,668
2026-09-02 11:22:20,2026-09-02T01:22:20.286Z,2412.04,6009320,2272.77,2500,2420,668
2026-09-02 11:37:20,2026-09-02T01:37:20.201Z,2402.19,5080620,2272.83,2500,2420,668
2026-09-02 11:52:20,2026-09-02T01:52:20.190Z,2387.99,4204150,2283.63,2500,2100,672
2026-09-02 12:07:20,2026-09-02T02:07:20.186Z,2403.42,5227735,2290.50,2500,2420,672
2026-09-02 12:22:20,2026-09-02T02:22:20.187Z,2406.15,5451459,2291.34,2500,2420,672
2026-09-02 12:37:20,2026-09-02T02:37:20.152Z,2408.81,5647602,2291.43,2500,2420,672
2026-09-02 12:52:20,2026-09-02T02:52:20.180Z,2406.98,5420411,2292.53,2500,2420,672
2026-09-02 13:07:20,2026-09-02T03:07:20.205Z,2411.33,5722218,2293.45,2500,2420,673
2026-09-02 13:22:20,2026-09-02T03:22:20.185Z,2417.22,6264856,2294.46,2500,2420,673
2026-09-02 13:37:20,2026-09-02T03:37:20.216Z,2415.59,5975380,2295.31,2500,2420,673
2026-09-02 13:52:20,2026-09-02T03:52:20.285Z,2413.12,5675027,2295.49,2500,2420,673
2026-09-02 14:07:20,2026-09-02T04:07:20.177Z,2411.96,5506869,2297.19,2500,2420,673
2026-09-02 14:22:20,2026-09-02T04:22:20.255Z,2410.84,5668868,2296.78,2500,2420,673
2026-09-02 14:37:20,2026-09-02T04:37:20.204Z,2414.26,5941043,2297.35,2500,2420,673
2026-09-02 14:52:20,2026-09-02T04:52:20.297Z,2414.43,5900221,2299.93,2500,2420,673
2026-09-02 15:07:20,2026-09-02T05:07:20.170Z,2408.54,5377178,2300.15,2500,2420,673
2026-09-02 15:22:20,2026-09-02T05:22:20.207Z,2418.87,6195385,2301.28,2500,2420,673
2026-09-02 15:37:20,2026-09-02T05:37:20.186Z,2420.15,6144639,2302.08,2500,2420,673
2026-09-02 15:52:20,2026-09-02T05:52:20.188Z,2422.49,6432354,2302.66,2500,2420,673
2026-09-02 16:07:20,2026-09-02T06:07:20.192Z,2419.20,5948361,2301.32,2500,2420,674
2026-09-02 16:22:20,2026-09-02T06:22:20.282Z,2417.10,5602252,2301.26,2500,2420,674
2026-09-02 16:37:20,2026-09-02T06:37:20.194Z,2416.65,5399547,2300.97,2500,2420,674
2026-09-02 16:52:20,2026-09-02T06:52:20.160Z,2419.62,5044133,2301.53,2500,2420,674
2026-09-02 17:07:20,2026-09-02T07:07:20.197Z,2420.89,4889862,2301.49,2500,2420,674
2026-09-02 17:22:20,2026-09-02T07:22:20.157Z,2423.41,5155249,2301.25,2500,2420,675
2026-09-02 17:37:20,2026-09-02T07:37:20.210Z,2421.54,3369081,2300.64,2500,2420,675
2026-09-02 17:52:20,2026-09-02T07:52:20.220Z,2421.10,-2941375,2422.35,2500,2420,675
2026-09-02 18:07:20,2026-09-02T08:07:20.193Z,2418.85,10664922,2273.62,2500,2100,634
2026-09-02 18:22:20,2026-09-02T08:22:20.217Z,2412.76,9716772,2277.39,2500,2100,634
2026-09-02 18:37:20,2026-09-02T08:37:20.201Z,2406.63,9125033,2279.86,2500,2100,637
2026-09-02 18:52:20,2026-09-02T08:52:20.199Z,2392.45,7336229,2288.41,2500,2100,639
2026-09-02 19:07:20,2026-09-02T09:07:20.197Z,2398.95,7979471,2288.62,2500,2100,639
2026-09-02 19:22:20,2026-09-02T09:22:20.203Z,2389.69,6900722,2289.63,2500,2100,642
2026-09-02 19:37:20,2026-09-02T09:37:20.191Z,2370.44,5365679,2288.76,2500,2100,648
2026-09-02 19:52:20,2026-09-02T09:52:20.302Z,2374.87,5900362,2288.85,2500,2100,650
2026-09-02 20:07:20,2026-09-02T10:07:20.242Z,2370.67,5465919,2288.48,2500,2100,651
2026-09-02 20:22:20,2026-09-02T10:22:20.206Z,2374.97,5807457,2289.44,2500,2100,652
2026-09-02 20:37:20,2026-09-02T10:37:20.173Z,2366.64,5067985,2290.55,2500,2100,654
2026-09-02 20:52:20,2026-09-02T10:52:20.216Z,2359.42,4432471,2291.31,2500,2100,655
2026-09-02 21:07:20,2026-09-02T11:07:20.189Z,2366.98,5051216,2292.99,2500,2100,661
2026-09-02 21:22:20,2026-09-02T11:22:20.166Z,2371.16,5447602,2294.16,2500,2100,662
2026-09-02 21:37:20,2026-09-02T11:37:20.201Z,2380.07,6385919,2295.04,2500,2100,662
2026-09-02 21:52:20,2026-09-02T11:52:20.206Z,2378.05,6126736,2295.51,2500,2100,662
2026-09-02 22:07:20,2026-09-02T12:07:20.198Z,2378.01,6098693,2296.03,2500,2100,662
2026-09-02 22:22:20,2026-09-02T12:22:20.214Z,2388.90,7306843,2296.17,2500,2100,662
2026-09-02 22:37:20,2026-09-02T12:37:20.325Z,2382.26,6476514,2296.70,2500,2100,662
2026-09-02 22:52:20,2026-09-02T12:52:20.179Z,2378.26,6240315,2299.87,2500,2100,663
2026-09-02 23:07:20,2026-09-02T13:07:20.201Z,2383.88,6941824,2300.86,2500,2100,664
2026-09-02 23:22:20,2026-09-02T13:22:20.201Z,2384.77,7014182,2300.71,2500,2100,664
2026-09-02 23:37:20,2026-09-02T13:37:20.202Z,2380.45,6482506,2301.38,2500,2100,664
2026-09-02 23:52:20,2026-09-02T13:52:20.312Z,2404.76,9642024,2306.48,2500,2100,665
2026-09-03 00:07:20,2026-09-02T14:07:20.177Z,2404.52,9606871,2309.56,2500,2100,673
2026-09-03 00:22:20,2026-09-02T14:22:20.206Z,2410.21,10369350,2311.36,2500,2100,674
2026-09-03 00:37:20,2026-09-02T14:37:20.222Z,2395.42,8015245,2317.38,2500,2100,674
2026-09-03 00:52:20,2026-09-02T14:52:20.228Z,2397.66,8300763,2318.06,2500,2100,674
2026-09-03 01:07:20,2026-09-02T15:07:20.190Z,2391.48,7346603,2320.46,2500,2100,675
2026-09-03 01:22:20,2026-09-02T15:22:20.216Z,2386.55,6711916,2320.70,2500,2100,675
2026-09-03 01:37:20,2026-09-02T15:37:20.312Z,2392.70,7581810,2321.98,2500,2100,676
2026-09-03 01:52:20,2026-09-02T15:52:20.213Z,2384.95,6390437,2322.85,2500,2100,676
2026-09-03 02:07:20,2026-09-02T16:07:20.214Z,2388.19,6848037,2323.35,2500,2100,676
2026-09-03 02:22:20,2026-09-02T16:22:20.318Z,2398.61,8386568,2325.01,2500,2100,676
2026-09-03 02:37:20,2026-09-02T16:37:20.246Z,2395.12,7743695,2326.32,2500,2100,676
2026-09-03 02:52:20,2026-09-02T16:52:20.265Z,2388.14,6727654,2326.99,2500,2100,677
2026-09-03 03:07:20,2026-09-02T17:07:20.314Z,2378.27,5287764,2327.92,2500,2350,679
2026-09-03 03:22:20,2026-09-02T17:22:20.211Z,2376.59,4914730,2331.55,2500,2350,680
2026-09-03 03:37:20,2026-09-02T17:37:20.319Z,2384.66,6057554,2331.37,2500,2100,680
2026-09-03 03:52:20,2026-09-02T17:52:20.222Z,2393.05,7224929,2331.72,2500,2100,680
2026-09-03 04:07:20,2026-09-02T18:07:20.229Z,2391.93,6881905,2333.38,2500,2100,680
2026-09-03 04:22:21,2026-09-02T18:22:21.113Z,2394.21,7179703,2336.43,2500,2100,680
2026-09-03 04:37:20,2026-09-02T18:37:20.246Z,2391.94,6907941,2334.13,2500,2100,680
2026-09-03 04:52:20,2026-09-02T18:52:20.210Z,2392.58,7065251,2333.81,2500,2100,680
2026-09-03 05:07:20,2026-09-02T19:07:20.239Z,2394.97,7447049,2334.26,2500,2100,680
