timestamp,block,unique_pairs,signal_count,eth_price,eth_delta,eth_direction,bias_score,bias_label,funding_rate,oi_h1_change,vol_h1_change,ls_long_pct,liq_long_pct,liq_total_usd,max_pain,max_pain_dist,pc_ratio,nq_price
2026-07-01T00:31:32.706Z,25434095,4,46,1570.03,5.77,UP,-0.5,↘️ LEAN SHORT,0.005764,0.14,-1.24,50.15,75.5,201018,1575,-5,0.519,30194.00
2026-07-01T01:05:54.117Z,25434266,3,31,1565.48,-6.44,DOWN,-0.5,↘️ LEAN SHORT,0.006425,-0.43,-3.81,46.6,22.2,815966,1575,-10,0.512,30194.00
2026-07-01T01:17:41.953Z,25434324,4,77,1559.23,5.54,UP,2.5,⬆️ LONG,0.006127,-1.11,-1.08,42.96,92.5,19023381,1575,-16,0.522,30194.00
2026-07-01T01:39:52.943Z,25434435,4,58,1580.32,11.42,UP,-0.5,↘️ LEAN SHORT,0.006392,0.11,2.83,49.83,83.9,21134097,1575,5,0.522,30194.00
2026-07-01T03:36:51.074Z,25435019,4,38,1589.68,9.05,UP,-0.5,↘️ LEAN SHORT,0.007362,0.23,2.49,52.87,5.2,587580,1575,15,0.522,30194.00
2026-07-01T04:46:16.829Z,25435365,4,51,1598.44,6.01,UP,-1.5,⬇️ SHORT,0.008025,0.58,-0.59,55.48,2.8,1917746,1575,23,0.524,30194.00
2026-07-01T06:22:51.416Z,25435845,4,32,1578.25,-6.34,DOWN,0.5,↗️ LEAN LONG,0.00726,-1.54,1.41,42.8,99.4,2702004,1575,3,0.467,30194.00
2026-07-01T06:37:30.791Z,25435918,4,64,1572.25,-6.19,DOWN,-0.5,↘️ LEAN SHORT,0.007162,-2.12,2.28,45.32,99.3,3093711,1575,-3,0.465,30194.00
2026-07-01T13:47:29.296Z,25438058,3,41,1586.55,7.95,UP,1.5,⬆️ LONG,0.002175,0.79,-5.2,52.44,19.5,2165805,1575,12,0.673,30194.00
2026-07-01T14:10:53.782Z,25438175,4,53,1600.04,9.24,UP,1,↗️ LEAN LONG,0.002477,1.69,0.17,52.99,14.7,4279302,1575,25,0.740,30194.00
2026-07-01T14:28:27.823Z,25438262,4,71,1603.63,-6.74,DOWN,-3,⬇️⬇️ STRONG SHORT,0.002348,1.47,6.07,51.96,7.1,12777735,1575,29,0.742,30194.00
2026-07-01T15:03:19.565Z,25438432,4,68,1604.59,6.16,UP,1,↗️ LEAN LONG,0.002112,0.78,7.62,51.25,15.7,10568246,1575,30,0.728,30194.00
2026-07-01T15:23:52.847Z,25438536,4,86,1624.99,17.44,UP,0.5,↗️ LEAN LONG,0.001769,0.51,5.65,51,13.8,13530865,1575,50,0.714,30194.00
2026-07-01T16:23:33.462Z,25438834,4,76,1614.43,-5.36,DOWN,-3,⬇️⬇️ STRONG SHORT,0.002058,0.24,4.66,48.08,6.6,13970269,1575,39,0.686,30194.00
2026-07-01T17:04:08.421Z,25439033,4,41,1606.68,-5.99,DOWN,-1.5,⬇️ SHORT,0.000319,-0.69,1.08,46.36,71.2,2232097,1575,32,0.671,30194.00
2026-07-01T17:19:55.879Z,25439112,4,67,1616.33,5.23,UP,1,↗️ LEAN LONG,0.000411,-0.42,1.82,49.03,69.8,2417738,1575,41,0.671,30194.00
2026-07-01T18:55:40.880Z,25439590,4,48,1612.12,-5.22,DOWN,-1,↘️ LEAN SHORT,-0.000419,-0.74,-0.05,48.45,62.2,466619,1575,37,0.687,30194.00
