log_time,exchange,symbol,price,usd_value,side,event_time
2026-08-01T00:17:41.630Z,BINANCE,ETHUSDT,1865.32,1096.80816,2,1785543411344
2026-08-01T00:44:50.927Z,BINANCE,ETHUSDT,1865.76,255.60912,1,1785545026223
2026-08-01T00:45:53.826Z,BINANCE,ETHUSDT,1866.34,147.44086,2,1785545106767
2026-08-01T00:55:08.421Z,BINANCE,ETHUSDC,1864.16,4893.42,2,1785545639078
2026-08-01T00:57:19.317Z,BINANCE,ETHUSDT,1864.29,2237.148,1,1785545819648
2026-08-01T00:57:19.317Z,BINANCE,ETHUSDT,1864.05,3728.1,1,1785545815700
2026-08-01T01:01:51.821Z,BINANCE,ETHUSDT,1865.18,1482.8181,2,1785546075309
2026-08-01T01:31:26.116Z,BINANCE,ETHUSDT,1864.99,1864.99,2,1785547834613
2026-08-01T01:50:42.761Z,BINANCE,ETHUSDT,1865.51,108.19958,2,1785549029097
2026-08-01T01:50:42.761Z,BINANCE,ETHUSDT,1866.01,9591.2914,2,1785548980429
2026-08-01T02:06:19.273Z,BINANCE,ETHUSDT,1866.99,2568.97824,2,1785549947403
2026-08-01T02:06:19.273Z,BINANCE,ETHUSDT,1866.99,507.82128,2,1785549945452
2026-08-01T02:10:41.196Z,BINANCE,ETHUSDT,1866,194.064,1,1785550205599
2026-08-01T02:11:44.045Z,BINANCE,ETHUSDT,1866.1,132.4931,1,1785550256600
2026-08-01T02:13:54.854Z,BINANCE,ETHUSDT,1867.54,747.016,2,1785550413303
2026-08-01T02:13:54.854Z,BINANCE,ETHUSDT,1867.47,39956.38812,2,1785550405418
2026-08-01T02:13:54.854Z,BINANCE,ETHUSDT,1867.37,776.82592,2,1785550397441
2026-08-01T02:19:55.644Z,BINANCE,ETHUSDT,1867.75,1867.75,2,1785550735678
2026-08-01T02:21:03.832Z,BINANCE,ETHUSDT,1868.81,155.11123,2,1785550849568
2026-08-01T02:21:03.832Z,BINANCE,ETHUSDT,1868.2,397.9266,1,1785550833086
2026-08-01T02:21:03.832Z,BINANCE,ETHBTC,0.029627,111.901179,1,1785550802682
2026-08-01T02:24:27.942Z,BINANCE,ETHUSDC,1867.67,181.16399,2,1785551009494
2026-08-01T02:27:41.690Z,BINANCE,ETHUSDT,1868.37,321.35964,2,1785551224184
2026-08-01T02:36:51.658Z,BINANCE,ETHUSDT,1868,6071,1,1785551762113
2026-08-01T02:43:43.952Z,BINANCE,ETHUSDT,1866.9,2426.97,1,1785552192314
2026-08-01T03:25:27.956Z,BINANCE,ETHUSDT,1868.09,123.29394,2,1785554716097
2026-08-01T04:01:03.974Z,BINANCE,ETHUSDT,1869.01,8765.6569,2,1785556812366
2026-08-01T04:22:31.067Z,BINANCE,ETHUSDT_260925,1875.49,587.02837,2,1785558145099
2026-08-01T04:22:31.067Z,BINANCE,ETHUSDT,1869.5,572.067,2,1785558145099
2026-08-01T04:22:31.067Z,BINANCE,ETHUSDC,1868.08,354.9352,2,1785558145099
2026-08-01T04:58:08.821Z,BINANCE,ETHUSDT,1868.9,3266.8372,1,1785560252099
2026-08-01T04:58:08.821Z,BINANCE,ETHUSDT,1868.91,373.782,2,1785560225589
2026-08-01T05:08:06.049Z,BINANCE,ETHUSDT,1869.67,123.39822,1,1785560843125
2026-08-01T05:12:41.047Z,BINANCE,ETHUSDT,1870,299.2,2,1785561154655
2026-08-01T05:13:43.905Z,BINANCE,ETHUSDT,1870.32,3007.47456,2,1785561161580
2026-08-01T05:17:03.558Z,BINANCE,ETHUSDT,1868.74,874.57032,1,1785561371695
2026-08-01T05:23:31.392Z,BINANCE,ETHUSDT,1868,1406.604,1,1785561783657
2026-08-01T05:30:09.679Z,BINANCE,ETHUSDT,1867.71,328.71696,1,1785562203188
2026-08-01T05:32:30.971Z,BINANCE,ETHUSDT,1867.66,1512.8046,1,1785562288652
2026-08-01T05:40:27.718Z,BINANCE,ETHUSDT,1865.7,1865.7,1,1785562788677
2026-08-01T05:41:30.653Z,BINANCE,ETHUSDT,1865.02,268.56288,1,1785562887566
2026-08-01T05:42:38.626Z,BINANCE,ETHUSDT,1865.15,466.2875,2,1785562889514
2026-08-01T05:44:54.912Z,BINANCE,ETHUSDT,1864.51,1016.15795,1,1785563027361
2026-08-01T05:44:54.912Z,BINANCE,ETHUSDT,1864.51,2237.412,1,1785563025342
2026-08-01T05:48:18.826Z,BINANCE,ETHUSDT,1864.7,999.4792,1,1785563280539
2026-08-01T05:48:18.826Z,BINANCE,ETHUSDT,1864.32,497.77344,1,1785563244066
2026-08-01T05:54:04.150Z,BINANCE,ETHUSDT,1865.92,798.61376,1,1785563591072
2026-08-01T06:05:19.433Z,BINANCE,ETHUSDT,1866.76,14551.3942,1,1785564267174
2026-08-01T06:14:14.626Z,BINANCE,ETHUSDT,1866.48,492.75072,1,1785564813577
2026-08-01T06:24:17.404Z,BINANCE,ETHUSDT,1868.76,360.67068,2,1785565413637
2026-08-01T06:27:42.334Z,BINANCE,ETHUSDT,1869.36,1261.818,2,1785565634559
2026-08-01T06:45:16.291Z,BINANCE,ETHUSDT,1869.14,2803.71,1,1785566694907
2026-08-01T06:50:51.091Z,BINANCE,ETHUSDT,1869.39,1869.39,2,1785567010273
2026-08-01T06:51:54.038Z,BINANCE,ETHUSDT,1869.73,444.99574,2,1785567096162
2026-08-01T07:11:06.703Z,BINANCE,ETHUSDT,1870.89,125.34963,2,1785568262528
2026-08-01T07:11:06.703Z,BINANCE,ETHUSDT,1870.89,2005.59408,2,1785568261419
2026-08-01T07:12:19.834Z,BINANCE,ETHUSDT,1871.19,112.2714,2,1785568319558
2026-08-01T07:46:27.010Z,BINANCE,ETHUSDT,1868.8,1917.3888,1,1785570355181
2026-08-01T08:09:18.182Z,BINANCE,ETHUSDT,1867.86,4733.15724,1,1785571706357
2026-08-01T08:35:18.924Z,BINANCE,ETHUSDT,1867.83,3270.57033,1,1785573283675
2026-08-01T09:41:52.334Z,BINANCE,ETHUSDT,1869.47,517.84319,1,1785577249707
2026-08-01T09:42:55.185Z,BINANCE,ETHUSDT,1869.51,2918.30511,1,1785577315082
2026-08-01T10:02:29.792Z,BINANCE,ETHUSDT,1865.65,11262.92905,1,1785578542493
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1862.84,372.568,1,1785578618279
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1862.84,18628.4,1,1785578616543
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1862.84,31429.83648,1,1785578615828
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1862.72,1970.75776,1,1785578613509
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1864.03,315.02107,1,1785578610288
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1864.03,2296.48496,1,1785578607585
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1864.25,35925.96175,1,1785578593318
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1864.49,598.50129,1,1785578585401
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1864.46,7034.60758,1,1785578583085
2026-08-01T10:03:43.029Z,BINANCE,ETHUSDT,1864.86,21557.7816,1,1785578560692
2026-08-01T10:04:51.065Z,BINANCE,ETHUSDT,1862.09,446.9016,1,1785578648657
2026-08-01T10:04:51.065Z,BINANCE,ETHUSDT,1862.09,7241.66801,1,1785578648122
2026-08-01T10:04:51.065Z,BINANCE,ETHUSDT,1862.61,135.97053,1,1785578632486
2026-08-01T10:36:54.892Z,BINANCE,ETHUSDT,1863.6,5959.7928,1,1785580610143
2026-08-01T10:44:54.383Z,BINANCE,ETHUSDT,1867.01,308.05665,2,1785581078632
2026-08-01T10:44:54.383Z,BINANCE,ETHUSDT,1866.53,263.18073,2,1785581026520
2026-08-01T11:01:42.416Z,BINANCE,ETHUSDT,1866.56,1707.9024,1,1785582060356
2026-08-01T11:01:42.416Z,BINANCE,ETHUSDT,1866.56,9355.19872,1,1785582056090
2026-08-01T11:01:42.416Z,BINANCE,ETHUSDT,1866.56,996.74304,1,1785582054207
2026-08-01T11:08:41.932Z,BINANCE,ETHUSDT,1865.34,1979.12574,1,1785582506706
2026-08-01T11:11:03.169Z,BINANCE,ETHUSDT,1865.67,138.05958,1,1785582613109
