timestamp,block,unique_pairs,signal_count,eth_price,eth_delta,eth_direction,bias_score,bias_label,funding_rate,oi_h1_change,vol_h1_change,ls_long_pct,liq_long_pct,liq_total_usd,max_pain,max_pain_dist,pc_ratio,nq_price
2026-04-12T22:00:56.523Z,24866525,4,18,2196.51,-11.49,DOWN,2,⬆️ LONG,-0.003025,-0.67,-1.12,43.93,48.4,609705,2600,-403,0.466,25281.25
2026-04-12T22:35:42.347Z,24866698,4,26,2192.48,7.21,UP,4,⬆️⬆️ STRONG LONG,-0.002544,-1.1,3.42,49.43,92.2,3236805,2600,-408,0.466,24953.75
2026-04-12T23:04:03.256Z,24866840,4,42,2192.75,-5.23,DOWN,1,↗️ LEAN LONG,-0.001872,-0.08,2.33,53.85,44.1,857999,2600,-407,0.466,24942.75
2026-04-12T23:53:16.155Z,24867085,3,37,2192.27,5.20,UP,2,⬆️ LONG,-0.001194,-0.26,-1.13,48.23,84.3,519101,2600,-408,0.466,24971.00
2026-04-13T00:08:40.544Z,24867162,3,28,2193.63,5.38,UP,1,↗️ LEAN LONG,-0.000807,0.03,-0.56,49.62,83.5,516836,2600,-406,0.466,24978.25
2026-04-13T00:27:28.724Z,24867256,4,25,2201.99,5.89,UP,2,⬆️ LONG,-0.000253,0.19,-0.1,51.15,44.1,723914,2600,-398,0.466,24999.50
2026-04-13T00:54:03.522Z,24867389,4,48,2205.31,6.15,UP,1,↗️ LEAN LONG,0.000325,0.65,0.04,53.23,8.6,542431,2600,-395,0.466,25047.00
2026-04-13T02:12:42.214Z,24867781,4,40,2194.43,-7.14,DOWN,0,↔️ NEUTRAL,0.000635,-0.75,-15.32,44.03,80.2,231297,2600,-406,0.466,25061.75
2026-04-13T02:25:31.429Z,24867845,3,10,2202.08,5.70,UP,3,⬆️⬆️ STRONG LONG,0.000504,-0.41,-16.85,48.45,97.5,837394,2600,-398,0.466,25062.50
2026-04-13T02:38:17.784Z,24867909,3,23,2194.29,-5.63,DOWN,1,↗️ LEAN LONG,0.000795,-0.79,-14.55,47.67,97.6,834539,2600,-406,0.466,25060.75
2026-04-13T04:52:06.079Z,24868578,4,36,2189.00,-6.03,DOWN,0,↔️ NEUTRAL,0.002894,-0.18,-1.18,49.87,28.3,137820,2600,-411,0.467,25065.50
2026-04-13T07:21:16.903Z,24869322,4,54,2185.19,-6.58,DOWN,-2,⬇️ SHORT,0.004115,-0.64,1.45,49.29,38.9,565638,2100,85,0.656,25114.00
2026-04-13T09:01:32.521Z,24869820,4,43,2188.65,5.29,UP,2,⬆️ LONG,0.003321,0.23,2.14,45.36,97.0,673555,2600,-411,0.468,25110.25
2026-04-13T12:47:54.568Z,24870949,4,45,2182.60,5.18,UP,2,⬆️ LONG,0.005971,-0.47,1.18,45.82,93.3,1519837,2600,-417,0.470,25169.00
2026-04-13T13:15:28.423Z,24871087,3,39,2199.50,5.10,UP,1,↗️ LEAN LONG,0.006799,0.52,-0.13,50.32,52.9,2885676,2600,-401,0.471,25179.00
2026-04-13T13:32:05.691Z,24871170,4,48,2194.69,-5.43,DOWN,-1,↘️ LEAN SHORT,0.006908,0.58,0.09,50.83,48.1,2684577,2600,-405,0.471,25221.75
2026-04-13T13:43:33.521Z,24871227,4,64,2189.14,5.99,UP,1,↗️ LEAN LONG,0.006503,0.19,1.08,51.35,32.5,2156566,2600,-411,0.471,25199.75
2026-04-13T13:53:38.510Z,24871277,4,81,2197.57,12.57,UP,2,⬆️ LONG,0.006561,-0.29,4.19,52.33,15.7,6485382,2600,-402,0.471,25243.75
2026-04-13T14:03:39.479Z,24871327,4,69,2205.57,-6.70,DOWN,0,↔️ NEUTRAL,0.006038,-0.22,7.65,50.24,18.5,6477456,2600,-394,0.471,25303.50
2026-04-13T14:34:54.806Z,24871482,4,51,2216.60,5.06,UP,1,↗️ LEAN LONG,0.006024,1.13,10.18,49.91,21.1,6712001,2100,117,0.656,25297.75
2026-04-13T14:45:04.561Z,24871533,4,22,2225.42,7.51,UP,2,⬆️ LONG,0.005881,1.58,9.55,49.17,14.2,7252292,2600,-375,0.471,25316.00
2026-04-13T14:58:31.681Z,24871599,4,57,2225.54,5.40,UP,2,⬆️ LONG,0.005619,0.84,6.61,47.07,21.4,3118682,2600,-374,0.471,25343.50
2026-04-13T15:08:22.243Z,24871649,3,47,2221.03,-5.31,DOWN,-2,⬇️ SHORT,0.005378,0.89,7.83,47.25,6.6,4138391,2600,-379,0.471,25325.25
2026-04-13T15:18:30.282Z,24871699,4,25,2215.55,-5.03,DOWN,-2,⬇️ SHORT,0.005056,0.75,7.84,47.41,8.1,4296048,2600,-384,0.471,25327.25
2026-04-13T15:31:03.984Z,24871761,4,73,2207.84,-6.51,DOWN,0,↔️ NEUTRAL,0.004247,0.22,8.21,46.56,16.6,4673975,2600,-392,0.471,25310.25
2026-04-13T15:56:31.395Z,24871888,4,42,2208.43,5.47,UP,1,↗️ LEAN LONG,0.002954,-0.14,7.36,47.41,49.3,4605197,2600,-392,0.471,25308.75
2026-04-13T16:06:39.659Z,24871939,3,48,2203.39,-5.67,DOWN,-2,⬇️ SHORT,0.002813,-0.21,5.1,47.15,81.7,2784457,2600,-397,0.471,25287.50
2026-04-13T16:20:43.188Z,24872009,4,65,2221.91,5.01,UP,1,↗️ LEAN LONG,0.00298,0.43,6.05,51.11,57.7,3597289,2600,-378,0.471,25328.50
2026-04-13T16:32:27.084Z,24872067,4,47,2228.16,5.45,UP,1,↗️ LEAN LONG,0.002959,1.32,6.04,52.42,32.5,3353516,2600,-372,0.471,25387.75
2026-04-13T16:47:31.078Z,24872143,3,29,2232.46,5.63,UP,0,↔️ NEUTRAL,0.002834,1.36,6.65,51.3,4.0,3079571,2600,-368,0.471,25377.00
2026-04-13T17:11:27.484Z,24872262,4,54,2229.28,5.70,UP,0,↔️ NEUTRAL,0.002939,0.74,6.46,49.18,5.8,2212616,2600,-371,0.471,25411.00
2026-04-13T17:30:16.218Z,24872355,4,52,2237.72,10.81,UP,0,↔️ NEUTRAL,0.002519,0.66,4.63,50.95,9.5,1191703,2600,-362,0.471,25430.00
2026-04-13T17:50:42.723Z,24872457,4,58,2230.27,-5.82,DOWN,-2,⬇️ SHORT,0.002403,0.05,3.28,49.64,3.0,4756036,2600,-370,0.471,25410.00
2026-04-13T18:25:17.928Z,24872630,4,40,2219.87,-5.70,DOWN,0,↔️ NEUTRAL,0.00243,-0.32,2.12,48.58,13.2,5417872,2600,-380,0.473,25401.25
2026-04-13T18:35:18.102Z,24872680,4,45,2228.60,6.66,UP,0,↔️ NEUTRAL,0.002904,-0.16,1.24,47.71,87.5,1678758,2600,-371,0.473,25411.25
2026-04-13T19:16:42.353Z,24872886,4,42,2236.61,7.36,UP,-2,⬇️ SHORT,0.003238,0.55,2.19,55.49,78.3,1109381,2050,187,0.651,25439.75
2026-04-13T19:32:51.802Z,24872966,4,54,2249.66,7.11,UP,-1,↘️ LEAN SHORT,0.003622,1.15,4.53,56.14,2.1,4007112,2600,-350,0.473,25470.50
2026-04-13T19:47:53.411Z,24873041,4,66,2258.17,5.42,UP,0,↔️ NEUTRAL,0.003642,0.77,7.77,53.44,1.3,7442779,2600,-342,0.473,25462.25
2026-04-13T20:01:19.338Z,24873108,4,67,2262.94,-5.05,DOWN,-2,⬇️ SHORT,0.004422,0.94,10.04,53.58,0.8,16852581,2600,-337,0.473,25538.75
2026-04-13T20:13:31.463Z,24873169,4,51,2253.11,-5.72,DOWN,-3,⬇️⬇️ STRONG SHORT,0.004765,0.58,10.36,52.23,1.0,16882958,2100,153,0.652,25550.00
2026-04-13T20:54:06.930Z,24873372,3,39,2252.14,-5.27,DOWN,-1,↘️ LEAN SHORT,0.005245,-0.68,2.35,48.06,15.1,4677938,2100,152,0.652,25576.50
2026-04-13T21:10:38.533Z,24873455,4,31,2256.63,5.77,UP,1,↗️ LEAN LONG,0.005288,-0.03,0.15,50.04,52.0,1337143,2600,-343,0.473,25582.25
2026-04-13T21:20:55.031Z,24873506,4,36,2253.54,-5.14,DOWN,-1,↘️ LEAN SHORT,0.005515,0.17,-0.25,51.2,48.3,1265823,2600,-346,0.473,25582.25
2026-04-13T22:12:08.200Z,24873761,3,3,2275.31,5.14,UP,-2,⬇️ SHORT,0.006519,0.76,0,58.78,0.4,4833014,2100,175,0.653,25583.50
2026-04-13T22:17:08.398Z,24873786,3,3,2318.73,18.60,UP,0,↔️ NEUTRAL,0.007425,1.81,3.17,61.87,18.2,28918626,2200,119,0.696,25582.25
2026-04-13T22:27:18.615Z,24873837,4,69,2321.57,-7.88,DOWN,-3.5,⬇️⬇️ STRONG SHORT,0.008776,2.77,8.58,56.38,13.0,44334360,2225,97,0.728,25582.00
