timestamp,eth_price,expiry_date,max_pain_price,call_oi,put_oi,call_notional,put_notional
2026-07-01T00:05:26.596Z,1572.00,260925,2300,227504.7,103580.7,357403514.15,162726466.97
2026-07-01T00:05:26.596Z,1572.00,261225,2200,297704,110277,467658241.2,173239876.22
2026-07-01T00:05:26.596Z,1572.00,270326,2000,59736,30961,93836512.68,48639394.65
2026-07-01T00:05:26.596Z,1572.00,270625,1600,5956,1616,9357149.3,2539382.44
2026-07-01T00:06:29.449Z,1572.29,260701,1575,14150.3,18596.1,22239387.47,29232557.84
2026-07-01T00:06:29.449Z,1572.29,260702,1575,9752.6,5019.1,15326028.49,7890270.01
2026-07-01T00:06:29.449Z,1572.29,260703,1650,50865.1,68316.5,79919643.52,107355058.15
2026-07-01T00:06:29.449Z,1572.29,260704,1550,1090.1,2652,1713103.97,4168267.52
2026-07-01T00:06:29.449Z,1572.29,260710,1650,30717.2,43285.8,48261755.42,68023597.16
2026-07-01T00:06:29.449Z,1572.29,260717,1600,7794,8209,12245615.86,12898683.45
2026-07-01T00:06:29.449Z,1572.29,260731,1800,163202.6,102342.3,256417696.71,160824804.87
2026-07-01T00:06:29.449Z,1572.29,260828,1700,33016,23945.6,51886689.49,37625838.18
2026-07-01T00:06:29.449Z,1572.29,260925,2300,227504.7,103580.7,357482717.09,162765938.45
2026-07-01T00:06:29.449Z,1572.29,261225,2200,297704,110277,467788314.4,173288675.58
2026-07-01T00:06:29.449Z,1572.29,270326,2000,59736,30961,93886623.14,48641128.99
2026-07-01T00:06:29.449Z,1572.29,270625,1600,5956,1616,9357268.8,2539689.75
2026-07-01T00:07:42.772Z,1571.52,260701,1575,14150.4,18596.2,22240061.01,29238564.03
2026-07-01T00:07:42.772Z,1571.52,260702,1575,9752.6,5020.1,15327438.71,7892386.93
2026-07-01T00:07:42.772Z,1571.52,260703,1650,50747.1,68316.5,79753900.28,107365270.24
2026-07-01T00:07:42.772Z,1571.52,260704,1550,1090.1,2652,1713454.29,4168267.52
2026-07-01T00:07:42.772Z,1571.52,260710,1650,30717.2,43285.8,48276908.13,68037376.53
2026-07-01T00:07:42.772Z,1571.52,260717,1600,7794,8209,12249948.97,12900561.34
2026-07-01T00:07:42.772Z,1571.52,260731,1800,163202.6,102341.3,256491200.06,160846892.28
2026-07-01T00:07:42.772Z,1571.52,260828,1700,33016,23945.6,51895886.12,37634159.12
2026-07-01T00:07:42.772Z,1571.52,260925,2300,227504.7,103580.7,357550853.03,162802351.24
2026-07-01T00:07:42.772Z,1571.52,261225,2200,297704,110277,467818159.34,173307214.46
2026-07-01T00:07:42.772Z,1571.52,270326,2000,59736,30961,93898363.41,48646231.6
2026-07-01T00:07:42.772Z,1571.52,270625,1600,5956,1616,9359401.8,2539881.75
2026-07-01T00:08:56.070Z,1572.01,260701,1575,14150.4,18596.2,22240971.17,29240715.78
2026-07-01T00:08:56.070Z,1572.01,260702,1575,9752.6,5020.1,15331225.95,7892488.75
2026-07-01T00:08:56.070Z,1572.01,260703,1650,50557.1,68316.5,79462560.87,107372682.57
2026-07-01T00:08:56.070Z,1572.01,260704,1550,1090.1,2652,1713531.19,4168321.6
2026-07-01T00:08:56.070Z,1572.01,260710,1650,30717.2,43285.8,48287032.93,68041940.17
2026-07-01T00:08:56.070Z,1572.01,260717,1600,7794,8209,12250896.39,12901132.54
2026-07-01T00:08:56.070Z,1572.01,260731,1800,163202.6,102341.3,256532212.68,160868768.08
2026-07-01T00:08:56.070Z,1572.01,260828,1700,33016,23945.6,51898002.57,37636731.41
2026-07-01T00:08:56.070Z,1572.01,260925,2300,227504.7,103580.7,357579118.05,162807684.4
2026-07-01T00:08:56.070Z,1572.01,261225,2200,297704,110277,467898646.38,173321879.7
2026-07-01T00:08:56.070Z,1572.01,270326,2000,59736,30961,93904826.5,48654976.14
2026-07-01T00:08:56.070Z,1572.01,270625,1600,5956,1616,9361820.49,2539941.19
2026-07-01T00:10:09.800Z,1571.02,260701,1575,14150.4,18596.2,22241613.49,29240022.21
2026-07-01T00:10:09.800Z,1571.02,260702,1575,9752.6,5020.1,15331664.97,7893152.33
2026-07-01T00:10:09.800Z,1571.02,260703,1650,50557.1,68316.5,79467772.91,107378427.83
2026-07-01T00:10:09.800Z,1571.02,260704,1550,1090.1,2652,1713518.73,4167605.35
2026-07-01T00:10:09.800Z,1571.02,260710,1650,30717.2,43285.8,48287129.84,68047596.28
2026-07-01T00:10:09.800Z,1571.02,260717,1600,7794,8209,12251762.86,12901006.55
2026-07-01T00:10:09.800Z,1571.02,260731,1800,163197.6,102341.3,256533910.49,160865312.32
2026-07-01T00:10:09.800Z,1571.02,260828,1700,33016,23945.6,51900252.36,37638616.49
2026-07-01T00:10:09.800Z,1571.02,260925,2300,227504.7,103580.7,357604045.05,162826198.02
2026-07-01T00:10:09.800Z,1571.02,261225,2200,297704,110277,467922925.24,173346109.6
2026-07-01T00:10:09.800Z,1571.02,270326,2000,59736,30961,93908963.51,48654719.38
2026-07-01T00:10:09.800Z,1571.02,270625,1600,5956,1616,9361789.29,2539301.9
