qld_time,timestamp,symbol,side,price,size_usd,remaining_usd
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1984135.99,1984135.99
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1978607.01,1978607.01
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1925332.57,1925332.57
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1915905.6,1915905.6
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1878008.37,1878008.37
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1816930.63,1816930.63
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1742464.23,1742464.23
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1669975.2,1669975.2
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1664811.88,1664811.88
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1652854.18,1652854.18
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1630041.08,1630041.08
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1540138.6,1540138.6
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1508936.53,1508936.53
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1377058.1,1377058.1
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1347026.59,1347026.59
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1319081.53,1319081.53
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1318047.08,1318047.08
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1287478.36,1287478.36
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1249887.95,1249887.95
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1245922.56,1245922.56
