qld_time,timestamp,spot,net_gex_usd_1pct,zero_gamma,call_wall,put_wall,n_strikes
2026-07-05 00:20:01,2026-07-04T14:20:01.702Z,1770.99,9886386,1663.26,1800,1600,591
2026-07-05 00:35:01,2026-07-04T14:35:01.729Z,1768.39,9606651,1663.63,1800,1600,592
2026-07-05 00:50:01,2026-07-04T14:50:01.723Z,1768.27,9593529,1663.59,1800,1600,592
2026-07-05 01:05:01,2026-07-04T15:05:01.737Z,1773.41,10190228,1665.64,1800,1600,592
2026-07-05 01:20:01,2026-07-04T15:20:01.746Z,1785.43,10521798,1675.00,1800,1600,597
2026-07-05 01:35:01,2026-07-04T15:35:01.711Z,1793.07,10907795,1680.40,1800,1600,597
2026-07-05 01:50:01,2026-07-04T15:50:01.705Z,1792.35,10831073,1680.77,1800,1600,597
2026-07-05 02:05:01,2026-07-04T16:05:01.731Z,1789.43,10601208,1680.95,1800,1600,598
2026-07-05 02:20:01,2026-07-04T16:20:01.723Z,1785.20,10277157,1680.98,1800,1600,600
2026-07-05 02:35:01,2026-07-04T16:35:01.714Z,1788.10,10509229,1681.31,1800,1600,600
2026-07-05 02:50:01,2026-07-04T16:50:01.741Z,1786.04,10291148,1683.68,1800,1600,600
2026-07-05 03:05:01,2026-07-04T17:05:01.733Z,1781.23,9857196,1684.26,1800,1600,601
2026-07-05 03:20:01,2026-07-04T17:20:01.750Z,1782.34,10013187,1684.31,1800,1600,602
2026-07-05 03:35:01,2026-07-04T17:35:01.744Z,1788.39,10889850,1686.48,1800,1600,602
2026-07-05 03:50:01,2026-07-04T17:50:01.742Z,1793.01,11378970,1687.71,1800,1600,603
2026-07-05 04:05:01,2026-07-04T18:05:01.698Z,1797.87,11720297,1686.97,1800,1600,607
2026-07-05 04:20:01,2026-07-04T18:20:01.828Z,1800.13,11815099,1687.11,1800,1600,608
2026-07-05 04:35:01,2026-07-04T18:35:01.707Z,1793.01,11286802,1686.59,1800,1600,608
2026-07-05 04:50:01,2026-07-04T18:50:01.801Z,1791.88,11178394,1687.10,1800,1600,608
2026-07-05 05:05:01,2026-07-04T19:05:01.702Z,1793.10,11241038,1687.16,1800,1600,608
2026-07-05 05:20:01,2026-07-04T19:20:01.827Z,1790.43,11039820,1687.11,1800,1600,608
2026-07-05 05:35:01,2026-07-04T19:35:01.761Z,1795.06,11456200,1687.20,1800,1600,608
2026-07-05 05:50:01,2026-07-04T19:50:01.769Z,1793.37,11288914,1687.32,1800,1600,608
2026-07-05 06:05:01,2026-07-04T20:05:01.754Z,1793.79,11398493,1687.44,1800,1600,608
2026-07-05 06:20:01,2026-07-04T20:20:01.869Z,1785.67,10613526,1687.99,1800,1600,608
2026-07-05 06:35:01,2026-07-04T20:35:01.711Z,1785.69,10692571,1686.90,1800,1600,608
2026-07-05 06:50:02,2026-07-04T20:50:02.133Z,1787.55,10917432,1687.23,1800,1600,608
2026-07-05 07:05:01,2026-07-04T21:05:01.747Z,1785.80,10748810,1687.32,1800,1600,608
2026-07-05 07:20:01,2026-07-04T21:20:01.767Z,1789.55,11171720,1687.54,1800,1600,608
2026-07-05 07:35:01,2026-07-04T21:35:01.746Z,1791.00,11343473,1688.14,1800,1600,608
2026-07-05 07:50:01,2026-07-04T21:50:01.736Z,1788.06,10985426,1688.61,1800,1600,608
2026-07-05 08:05:01,2026-07-04T22:05:01.751Z,1785.28,10690936,1688.81,1800,1600,608
2026-07-05 08:20:01,2026-07-04T22:20:01.776Z,1786.66,10902561,1689.12,1800,1600,608
2026-07-05 08:35:01,2026-07-04T22:35:01.739Z,1784.03,10612482,1688.96,1800,1600,608
2026-07-05 08:50:01,2026-07-04T22:50:01.729Z,1782.04,10285972,1692.26,1800,1600,608
2026-07-05 09:05:01,2026-07-04T23:05:01.765Z,1782.97,10414732,1692.53,1800,1600,608
2026-07-05 09:20:01,2026-07-04T23:20:01.818Z,1774.94,9348246,1693.56,1800,1600,609
2026-07-05 09:35:01,2026-07-04T23:35:01.796Z,1779.21,9950170,1697.10,1800,1600,609
2026-07-05 09:50:01,2026-07-04T23:50:01.749Z,1779.98,10082310,1697.65,1800,1600,609
2026-07-05 10:05:01,2026-07-05T00:05:01.861Z,1775.56,9391742,1701.20,1800,1600,609
2026-07-05 10:20:01,2026-07-05T00:20:01.799Z,1774.79,9271302,1705.26,1800,1600,609
2026-07-05 10:35:01,2026-07-05T00:35:01.770Z,1771.80,8822353,1709.79,1800,1600,609
2026-07-05 10:50:01,2026-07-05T00:50:01.790Z,1773.28,9026238,1710.72,1800,1600,609
2026-07-05 11:05:01,2026-07-05T01:05:01.838Z,1771.56,8792858,1711.36,1800,1600,609
