timestamp,block,unique_pairs,signal_count,eth_price,eth_delta,eth_direction,bias_score,bias_label,funding_rate,oi_h1_change,vol_h1_change,ls_long_pct,liq_long_pct,liq_total_usd,max_pain,max_pain_dist,pc_ratio,nq_price
2026-06-01T00:05:06.765Z,25218822,4,37,2009.88,6.28,UP,-1.5,⬇️ SHORT,0.006493,-0.18,3.18,46.6,80.7,2088085,2025,-15,3.181,29817.50
2026-06-01T00:30:54.237Z,25218950,4,43,2015.31,5.90,UP,-0.5,↘️ LEAN SHORT,0.007736,0.4,3.72,47.79,58.0,2652698,2025,-10,3.063,29817.50
2026-06-01T01:07:30.758Z,25219133,3,26,2006.59,-5.61,DOWN,-2.5,⬇️ SHORT,0.008702,-0.19,2.16,47.83,54.2,2877393,2025,-18,3.090,29817.50
2026-06-01T01:55:18.781Z,25219370,4,48,1994.19,-5.78,DOWN,-3.5,⬇️⬇️ STRONG SHORT,0.009262,-0.59,1.57,46.07,88.0,1688160,2025,-31,3.075,29817.50
2026-06-01T02:06:27.809Z,25219425,4,41,1996.19,5.02,UP,0.5,↗️ LEAN LONG,0.009461,0.04,3.15,47.5,96.9,5426290,2025,-29,3.107,29817.50
2026-06-01T02:43:18.426Z,25219609,4,54,2012.54,12.35,UP,-2.5,⬇️ SHORT,0.01,0.56,2.78,49.16,73.8,6536967,2025,-12,3.132,29817.50
2026-06-01T03:04:19.766Z,25219712,3,15,2013.24,5.13,UP,-2.5,⬇️ SHORT,0.01,0.63,1.71,52.19,3.8,1667418,2025,-12,3.139,29817.50
2026-06-01T05:27:55.251Z,25220430,3,53,1992.16,-5.36,DOWN,-4.5,⬇️⬇️ STRONG SHORT,0.01,0.39,-2.53,51.25,89.9,557339,2025,-33,3.159,29817.50
2026-06-01T06:50:03.449Z,25220840,4,52,1984.20,5.34,UP,1,↗️ LEAN LONG,0.007875,0.53,5.69,45.53,96.3,9894233,2025,-41,2.942,29817.50
2026-06-01T07:48:05.294Z,25221129,4,31,1973.38,-7.42,DOWN,-1.5,⬇️ SHORT,0.005965,0.61,2.13,48.71,94.9,1312235,2000,-27,2.358,29817.50
2026-06-01T08:31:30.633Z,25221344,3,21,1970.33,-5.25,DOWN,-1.5,⬇️ SHORT,0.004634,0.21,4.38,47.3,98.8,16518589,2000,-30,2.189,29817.50
2026-06-01T12:09:10.058Z,25222426,3,31,1973.67,-5.50,DOWN,-1.5,⬇️ SHORT,0.007549,-0.83,2.42,45.66,99.7,2496546,2000,-26,2.198,29817.50
2026-06-01T12:23:18.214Z,25222497,3,50,1980.62,5.90,UP,0.5,↗️ LEAN LONG,0.008054,0.12,6.35,47.52,96.0,7802082,2000,-19,2.163,29817.50
2026-06-01T12:39:54.463Z,25222580,4,37,1989.18,5.21,UP,0.5,↗️ LEAN LONG,0.008435,0.11,8.41,49.9,90.6,8392342,2000,-11,2.130,29817.50
2026-06-01T13:05:31.949Z,25222707,4,52,1981.45,-5.52,DOWN,-3.5,⬇️⬇️ STRONG SHORT,0.008799,-0.52,8.81,49.03,87.3,6603606,2000,-19,2.134,29817.50
2026-06-01T13:17:54.080Z,25222770,4,66,1976.63,5.04,UP,-1.5,⬇️ SHORT,0.008847,-0.35,8.55,49.9,81.5,4376879,2000,-23,2.145,29817.50
2026-06-01T13:52:27.623Z,25222942,4,66,1968.07,-8.79,DOWN,-3.5,⬇️⬇️ STRONG SHORT,0.009137,-0.15,7.6,47.52,88.1,4336384,2000,-32,2.075,29817.50
2026-06-01T14:02:29.585Z,25222992,4,67,1971.25,12.30,UP,0.5,↗️ LEAN LONG,0.008915,-0.44,13.41,46.67,95.9,34547571,2000,-29,2.031,29817.50
2026-06-01T14:13:32.348Z,25223047,4,63,1963.78,-5.14,DOWN,-1.5,⬇️ SHORT,0.00936,0.04,12.48,47.47,95.7,32036864,2000,-36,2.030,29817.50
2026-06-01T15:18:56.651Z,25223374,3,41,1958.55,-7.68,DOWN,-4.5,⬇️⬇️ STRONG SHORT,0.01,-0.26,-1.76,49.86,84.0,1462478,1975,-16,1.817,29817.50
2026-06-01T15:31:08.539Z,25223435,3,38,1965.88,6.74,UP,-1.5,⬇️ SHORT,0.009676,0.27,0.94,51.35,85.7,4287975,1975,-9,1.866,29817.50
2026-06-01T16:09:04.295Z,25223625,3,41,1961.97,-5.15,DOWN,-3.5,⬇️⬇️ STRONG SHORT,0.009552,-0.27,3.39,49.96,77.4,5086166,1975,-13,1.859,29817.50
2026-06-01T17:04:43.741Z,25223902,4,52,1979.30,5.11,UP,-2.5,⬇️ SHORT,0.01,0.88,1.37,54.13,72.9,3198024,1975,4,1.752,29817.50
2026-06-01T17:30:15.802Z,25224029,3,43,1989.80,7.18,UP,-2.5,⬇️ SHORT,0.01,0.63,1.28,54.71,3.6,2309600,1975,15,1.752,29817.50
2026-06-01T17:48:08.512Z,25224118,3,51,1991.06,6.03,UP,-2.5,⬇️ SHORT,0.01,0.06,3.96,53.02,3.4,3167886,1975,16,1.681,29817.50
2026-06-01T19:29:56.814Z,25224625,3,9,1998.76,6.61,UP,-0.5,↘️ LEAN SHORT,0.01,0.33,0.56,50.7,11.0,602499,1975,24,1.621,29817.50
2026-06-01T21:09:14.539Z,25225118,4,50,1998.66,-5.24,DOWN,-4.5,⬇️⬇️ STRONG SHORT,0.01,-0.7,0.67,47.06,0.8,5279986,1975,24,1.542,29817.50
2026-06-01T21:20:04.953Z,25225172,4,56,1990.90,-5.35,DOWN,-2.5,⬇️ SHORT,0.01,-1.18,1.25,46.16,10.2,5898524,1975,16,1.538,29817.50
2026-06-01T22:02:55.494Z,25225386,4,53,1985.03,-5.96,DOWN,-2.5,⬇️ SHORT,0.01,-1.47,0.71,47.49,18.7,6471407,1975,10,1.546,29817.50
2026-06-01T22:26:38.616Z,25225505,4,44,1998.49,6.47,UP,-2.5,⬇️ SHORT,0.01,-0.26,0.61,52.45,77.6,1747549,1975,23,1.540,29817.50
2026-06-01T22:38:06.810Z,25225562,4,44,1991.46,-5.99,DOWN,-4.5,⬇️⬇️ STRONG SHORT,0.01,-0.26,0.69,51.44,76.8,1767120,1975,16,1.531,29817.50
2026-06-01T22:49:05.406Z,25225616,4,54,2001.29,9.21,UP,-2.5,⬇️ SHORT,0.01,0.19,1.01,53.04,79.6,2057832,1975,26,1.530,29817.50
2026-06-01T23:37:30.051Z,25225857,3,53,2002.36,6.05,UP,-2.5,⬇️ SHORT,0.01,0.58,-0.06,53.66,72.7,573744,1975,27,1.480,29817.50
2026-06-02T01:31:17.508Z,25226424,4,28,1988.12,-5.62,DOWN,-2,⬇️ SHORT,0.01,-0.79,-1.25,49.74,94.7,290833,2000,-12,1.023,29817.50
2026-06-02T02:06:07.974Z,25226598,4,40,1969.21,-7.29,DOWN,-2,⬇️ SHORT,0.01,-1.23,0.04,47.73,98.2,3938864,2000,-31,1.030,29817.50
2026-06-02T02:21:34.898Z,25226675,4,54,1972.42,5.71,UP,0,↔️ NEUTRAL,0.01,-1.02,2.24,47.96,96.4,11397669,2000,-28,1.064,29817.50
2026-06-02T02:42:51.087Z,25226782,3,43,1983.36,-6.21,DOWN,-2,⬇️ SHORT,0.01,0.47,3.92,49.5,91.7,9910262,2000,-17,1.053,29817.50
2026-06-02T03:00:51.253Z,25226872,3,40,1992.83,5.85,UP,-2,⬇️ SHORT,0.01,1.32,4.1,49.67,89.2,9800138,2000,-7,1.050,29817.50
2026-06-02T04:11:51.968Z,25227226,3,42,1994.49,-5.23,DOWN,-2,⬇️ SHORT,0.01,0.65,0.58,50.99,18.5,1227993,2000,-6,1.092,29817.50
2026-06-02T05:05:28.634Z,25227493,3,36,1987.84,-6.22,DOWN,-4,⬇️⬇️ STRONG SHORT,0.01,-0.54,-0.87,48.42,87.6,928810,2000,-12,1.094,29817.50
2026-06-02T05:15:29.866Z,25227543,4,45,1996.80,5.32,UP,-2,⬇️ SHORT,0.01,0.09,-0.52,50.5,84.7,927654,2000,-3,1.073,29817.50
2026-06-02T05:27:28.901Z,25227603,3,25,1990.74,-5.03,DOWN,-4,⬇️⬇️ STRONG SHORT,0.01,-0.51,-0.16,49.4,84.4,955261,2000,-9,1.080,29817.50
2026-06-02T05:41:52.215Z,25227675,4,39,1985.15,-5.24,DOWN,-2,⬇️ SHORT,0.01,-1.05,0.33,48.45,94.3,2014903,2000,-15,1.079,29817.50
2026-06-02T06:56:17.605Z,25228045,4,51,1977.80,-5.13,DOWN,-2,⬇️ SHORT,0.01,-1.1,-0.7,50.86,98.6,796487,2000,-22,1.104,29817.50
2026-06-02T07:16:05.481Z,25228144,3,36,1982.05,5.29,UP,0,↔️ NEUTRAL,0.01,0.13,-0.39,52.34,98.3,3914837,2000,-18,1.072,29817.50
2026-06-02T07:26:28.635Z,25228195,3,45,1977.78,-6.28,DOWN,-4,⬇️⬇️ STRONG SHORT,0.01,-0.25,0.24,51.8,83.9,4452973,2000,-22,1.072,29817.50
2026-06-02T09:03:03.951Z,25228677,4,31,1970.79,-5.58,DOWN,-1,↘️ LEAN SHORT,0.008739,-0.31,-0.23,50.95,98.7,1201399,2000,-29,1.233,29817.50
2026-06-02T09:13:07.011Z,25228727,3,31,1969.21,-5.03,DOWN,-2,⬇️ SHORT,0.008754,3.99,0.16,50.46,99.1,2202806,2000,-31,1.280,29817.50
