qld_time,timestamp,eth_price,nq_price,yellow_count,funding_open,funding_high,funding_low,funding_close,oi_open,oi_high,oi_low,oi_close,cvd_agg_buy,cvd_agg_sell,cvd_delta
2026-06-29 08:14:49,2026-06-28T22:14:49.739Z,1568.95,29720.00,0,0.001251,0.001251,0.001098,0.001098,3628469194.99,3628700047.87,3626791855.48,3626791855.48,9294531.27,3740608.62,6853088.97
2026-06-29 08:15:52,2026-06-28T22:15:52.624Z,1568.91,29720.00,0,0.001098,0.001098,0.001098,0.001098,3626791855.48,3628124401.44,3625980811.53,3627031857.93,4385189.65,3112987.89,7471819.62
2026-06-29 08:16:55,2026-06-28T22:16:55.433Z,1568.57,29720.00,0,0.001098,0.001098,0.000971,0.000971,3627031857.93,3627242269.63,3624227770.43,3624737199.76,3521806.64,1802425.04,12628560.38
2026-06-29 08:18:03,2026-06-28T22:18:03.324Z,1568.52,29720.00,1,0.000909,0.000971,0.000909,0.000909,3623017641.78,3623017641.78,3623017641.78,3623017641.78,45565.18,375911.57,11125486.96
2026-06-29 08:19:06,2026-06-28T22:19:06.064Z,1563.10,29720.00,2,0.000909,0.000909,0.00081,0.00081,3625347666.21,3625347666.21,3625347666.21,3625347666.21,3181971.61,2564241.86,-4138346.78
2026-06-29 08:19:25,2026-06-28T22:19:25.373Z,1562.21,29720.00,0,0.000909,0.000909,0.00081,0.00081,3625347666.21,3626649178.38,3612156951.29,3612156951.29,12156467.96,13273770.08,-5873378.66
2026-06-29 08:20:28,2026-06-28T22:20:28.516Z,1560.40,29720.00,0,0.00081,0.00081,0.000803,0.000803,3612156951.29,3612156951.29,3598137177.73,3601696699.66,9321764.98,9173375.43,-2602324.67
2026-06-29 08:21:19,2026-06-28T22:21:19.375Z,1559.81,29720.00,0,0.000803,0.000803,0.000508,0.000508,3601696699.66,3605456388.1,3601696699.66,3604841896.56,6108616.87,5240099.67,-3695904.68
2026-06-29 08:22:27,2026-06-28T22:22:27.291Z,1562.67,29720.00,0,0.000508,0.000508,0.000508,0.000508,3604841896.56,3608080343.91,3598160135.4,3607093722.9,3452266.24,1873926.87,-3227092.12
2026-06-29 08:23:31,2026-06-28T22:23:31.211Z,1567.36,29720.00,3,0.000508,0.000508,0.000472,0.000472,3607093722.9,3614759243.65,3605200264.29,3614759243.65,15042238.19,14946469.00,7533308.54
2026-06-29 08:26:31,2026-06-28T22:26:31.914Z,1565.53,29720.00,1,0.000543,0.000712,0.000543,0.000712,3616301195.19,3616652764.22,3612492731.61,3613345856.47,1653058.19,3447949.72,-6059665.84
2026-06-29 08:27:46,2026-06-28T22:27:46.906Z,1563.48,29720.00,1,0.000712,0.000741,0.000712,0.000741,3613345856.47,3614203769.08,3609503805.59,3609503805.59,3167542.73,5518518.62,-10402841.81
2026-06-29 08:28:57,2026-06-28T22:28:57.964Z,1564.68,29720.00,1,0.000741,0.000741,0.000696,0.000696,3609503805.59,3610683986.01,3604853414.04,3609407181.51,4905375.95,3516991.11,-4924513.44
2026-06-29 08:30:06,2026-06-28T22:30:06.116Z,1564.66,29720.00,0,0.000696,0.000697,0.000696,0.000697,3611686399.08,3611686399.08,3611686399.08,3611686399.08,1444242.23,454241.98,-1939450.06
2026-06-29 08:31:19,2026-06-28T22:31:19.364Z,1566.32,29720.00,1,0.000697,0.000697,0.000685,0.000685,3611617557.15,3618936171.37,3611617557.15,3618122499.26,477955.38,710531.10,456309.51
2026-06-29 08:32:27,2026-06-28T22:32:27.389Z,1566.32,29720.00,2,0.000685,0.000685,0.000685,0.000685,3618122499.26,3618122499.26,3613814885.9,3617576618.75,901935.14,894869.93,3368690.13
2026-06-29 08:33:30,2026-06-28T22:33:30.233Z,1565.25,29720.00,2,0.000685,0.00075,0.000685,0.00075,3617576618.75,3617576618.75,3615215308.43,3615215308.43,1912312.77,3959898.02,-2533143.66
2026-06-29 08:34:38,2026-06-28T22:34:38.394Z,1561.84,29720.00,2,0.00075,0.000776,0.00075,0.000776,3615215308.43,3615215308.43,3609926160.78,3610428398.08,4097018.38,9463044.39,-9321851.15
2026-06-29 08:35:41,2026-06-28T22:35:41.460Z,1561.84,29720.00,2,0.000776,0.000776,0.000684,0.000684,3610428398.08,3610428398.08,3602246669.35,3604466702.93,5068606.09,5619131.07,-12077429.95
2026-06-29 08:36:54,2026-06-28T22:36:54.529Z,1564.33,29720.00,1,0.000684,0.000684,0.000684,0.000684,3604466702.93,3605747873.06,3603757545.12,3605092521.77,9746109.88,18315812.98,-19361443.15
2026-06-29 08:38:07,2026-06-28T22:38:07.587Z,1563.86,29720.00,2,0.000535,0.000574,0.000535,0.000574,3610415810.74,3610415810.74,3610415810.74,3610415810.74,782092.01,97944.43,-14635850.30
2026-06-29 08:39:15,2026-06-28T22:39:15.725Z,1563.86,29720.00,1,0.000574,0.000574,0.000574,0.000574,3608684783.29,3611265794.09,3608684783.29,3610905342.79,837610.02,622026.11,-6918971.41
2026-06-29 08:40:18,2026-06-28T22:40:18.603Z,1563.86,29720.00,0,0.000574,0.000574,0.000555,0.000555,3610905342.79,3611932692.58,3609816283.62,3611932692.58,402480.95,2467441.25,-8416186.34
2026-06-29 08:41:31,2026-06-28T22:41:31.795Z,1562.81,29720.00,3,0.000555,0.000608,0.000555,0.000608,3611932692.58,3612002698.87,3606171273.82,3607047347.12,3301836.62,2053471.57,1814215.42
2026-06-29 08:42:40,2026-06-28T22:42:40.016Z,1560.57,29720.00,2,0.000608,0.000608,0.000566,0.000566,3607047347.12,3608870087.31,3601747435.78,3601747435.78,4713556.42,4132113.40,-6727304.13
2026-06-29 08:43:42,2026-06-28T22:43:42.748Z,1560.63,29720.00,1,0.000566,0.000566,0.000566,0.000566,3601747435.78,3602640290.42,3600119624.73,3602539077.33,3223527.01,4722471.21,-8206928.98
2026-06-29 08:44:55,2026-06-28T22:44:55.928Z,1559.41,29720.00,2,0.000566,0.000566,0.000477,0.000477,3602539077.33,3602772566.73,3598488087.62,3599345134.71,10811998.27,14791028.04,-12086228.02
2026-06-29 08:46:04,2026-06-28T22:46:04.032Z,1559.05,29720.00,2,0.000371,0.000371,0.000371,0.000371,3603375612.05,3603375612.05,3603375612.05,3603375612.05,856762.50,48706.29,1162058.41
